dwr,dissim,leven
-0.21284,0.32541,0.44732
-0.13251,0.45415,1.8109
-0.18351,0.28796,0.245
-0.16733,0.33086,0.24754
-0.14975,0.066228,-0.4568
-0.076419,-3.215,0.22576
-0.1398,0.040481,-0.43156
-0.030602,0.0071596,-0.44911
-0.035579,-0.071363,-0.62432
-0.047153,0.20631,0.12267
-0.23763,0.40724,3.3972
-0.032745,0.044845,-0.39935
-0.074824,0.22224,-0.15103
-0.080987,0.13569,-0.34346
-0.14695,0.34943,0.63441
-0.10062,-0.31593,-0.82977
-0.14502,0.31754,0.9066
-0.17294,0.35081,0.46311
-0.096255,0.03233,-0.49184
-0.18901,0.25171,0.082018
-0.16686,0.21833,-0.25527
-0.063958,-0.0070859,-0.6542
-0.12403,0.32929,0.43612
-0.16954,0.28059,0.35568
-0.18755,-0.14341,-0.81828
-0.021799,-0.0052354,-0.61189
-0.14333,0.092057,-0.50888
-0.12254,0.12308,-0.37128
-0.16778,0.35122,0.69372
-0.13104,0.26827,0.11321
-0.12135,0.36646,1.2054
-0.16235,0.13154,0.17436
-0.038439,0.27581,0.73682
-0.10086,0.12379,-0.37476
-0.10296,0.20498,-0.095656
-0.16339,0.33281,0.66387
-0.13326,0.10098,-0.18182
-0.14101,0.23271,-0.11874
-0.11892,0.23897,-0.18728
-0.05923,0.021114,-0.47676
0.093448,0.08399,-0.38561
-0.092003,0.23633,-0.23229
-0.24442,0.30642,0.33769
-0.19084,0.12986,0.62964
-0.15765,0.32029,0.23248
-0.10583,0.098168,-0.29753
-0.51941,0.17129,-0.78957
-0.12877,0.25046,1.0234
0.025572,0.033992,-0.59624
-0.1542,-0.092376,-0.78079
-0.22346,0.04248,-0.50354
0.1003,0.12806,-0.38722
-0.058494,-0.067755,-0.71021
-0.18459,0.31815,1.7616
-0.12747,0.23149,0.63993
-0.22446,0.44367,2.1737
-0.1532,0.24513,0.18549
-0.032186,-0.077949,-0.58194
-0.1152,0.01062,-0.58928
-0.093878,0.028197,-0.59746
-0.083267,-0.06582,-0.73985
-0.14336,0.27679,0.41844
-0.19015,0.31898,0.22298
-0.22996,0.33683,0.12933
-0.088862,-0.0129,-0.63247
-0.023978,0.069211,-0.35566
-0.093043,0.067876,-0.20934
-0.16542,0.30571,0.18634
-0.24526,0.24411,-0.10314
-0.087356,0.14674,-0.26966
-0.15374,0.23931,0.038505
0.035263,-0.32742,-0.92472
-0.049138,0.19468,0.55578
-0.094016,-0.094682,-0.69336
-0.18432,0.15792,0.17744
-0.13199,0.14338,-0.57762
-0.05938,0.1335,-0.3876
-0.084109,0.17735,-0.21916
-0.092744,0.13059,-0.29738
-0.17437,0.22593,-0.24145
-0.076276,0.012484,-0.55405
0.10425,-0.45537,-0.81554
-0.050777,-0.0014203,-0.55467
-0.22325,0.164,-0.15974
-0.1322,-0.023007,-0.59873
-0.088715,0.085715,-0.28328
-0.098609,0.0045708,-0.5989
-0.22455,0.17696,-0.35515
-0.19314,0.019106,-0.64821
-0.014369,-0.024153,-0.66819
-0.24895,0.26766,0.21517
-0.18874,0.18528,-0.28409
-0.13502,0.11738,-0.33605
-0.0076267,-0.11553,-0.80764
-0.078882,0.047889,-0.54355
-0.18124,-0.18579,-0.87243
-0.16421,0.23871,0.59031
0.068301,-0.098993,-0.71943
-0.099697,-0.57043,-0.88624
-0.04925,0.19108,-0.20444
-0.14995,0.21991,-0.24689
0.043334,0.10576,-0.55515
-0.067167,0.19904,0.08784
0.0099016,-0.072054,-0.66178
-0.1514,0.027767,-0.61556
-0.10022,0.047078,-0.38687
-0.11411,0.23392,0.014165
-0.16913,0.1322,-0.19496
-0.20172,0.22473,0.50289
-0.10015,-0.0052003,-0.93102
-0.25743,-0.28411,-0.88284
-0.15789,0.1511,0.36429
-0.1193,0.10358,-0.56218
-0.19122,-0.11679,-0.16519
-0.03202,0.037705,-0.41744
-0.26854,-1.6832,-1.1686
0.059299,-0.18521,-0.83646
-0.12653,0.30991,0.2049
-0.084734,-0.040412,-0.63332
-0.15706,0.14133,-0.45495
-0.10677,0.20284,-0.12682
-0.12123,0.26357,-0.11164
-0.15988,0.16821,-0.050308
-0.12694,0.31591,1.3624
0.15625,-0.37707,-0.75336
-0.21993,0.27712,0.087709
-0.18816,0.2523,0.11215
-0.24777,0.2773,0.87272
-0.092738,0.28029,0.054057
-0.0728,0.13939,-0.43998
-0.1405,0.3226,1.0094
-0.17695,0.14247,-0.24986
-0.1157,0.1909,-0.084155
-0.1261,0.20097,0.030197
-0.15358,0.17259,0.103
-0.033144,0.20896,-0.3142
0.091747,-4.3392,-0.91008
8.2879,0.10762,-1.1736
-0.059029,0.012097,-0.43327
0.068383,-0.087192,-0.8467
-0.2147,0.33869,1.6484
-0.13879,0.18791,-0.13111
-0.12589,0.26878,0.4472
-0.13838,0.36915,1.1049
-0.2381,0.22578,-0.088281
-0.22912,0.35789,2.148
0.024407,-0.014215,-0.59104
-0.066974,-2.846,-0.69426
-0.039271,-0.57335,-1.0035
0.033224,0.091291,-0.32282
-0.14315,0.35217,0.61928
-0.15927,0.32492,0.4869
-0.046076,0.097834,-0.55117
-0.075666,0.20042,-0.12967
-0.098608,0.096868,-0.44759
-0.057317,0.19129,0.038248
-0.20087,0.33425,1.3122
6.1645,-5.1365,5.7708
-0.14659,0.083453,-0.49627
-0.12366,0.19204,-0.23513
-0.14537,-5.6743,-1.0274
-0.22389,0.14076,-0.82164
-0.18938,-1.3492,-0.23006
-0.1812,0.055556,-0.49361
-0.043668,0.21874,-0.37748
-0.19686,0.45438,1.3638
0.029218,-0.1402,-0.44494
-0.17506,0.20085,0.0098954
-0.12793,0.11769,-0.46448
-0.2369,0.29469,0.61993
0.32452,-2.9069,-1.0779
-0.12659,0.18215,-0.12413
-0.12747,0.20512,0.020665
-0.023852,0.13233,-0.15867
-0.21904,0.20146,-0.025117
-0.095507,0.072001,-0.41092
-0.028542,-0.055971,-0.63383
-0.16585,0.38466,1.0525
-0.046637,-0.061854,-0.67688
-0.06913,0.10674,-0.51717
-0.13707,0.26929,0.082136
-0.030513,-0.081667,-0.57589
-0.17978,0.16995,0.35243
2.2604,-11.619,-1.059
-0.16764,0.22318,-0.34429
-0.20172,0.37454,0.99536
-0.14229,0.25779,0.38048
-0.17254,0.32674,0.80647
-0.016006,0.079561,-0.52427
-0.16722,0.17621,-0.1305
-0.12591,0.094179,-0.36359
-0.14453,0.024983,-0.53675
-0.0082025,0.2106,-0.14399
-0.18279,0.35285,0.92128
-0.14517,0.27028,0.09546
-0.061759,0.094307,-0.50625
-0.050132,0.050053,-0.6519
-0.096986,0.091402,-0.44151
-0.011285,-0.095944,-0.78067
-0.10923,0.10049,-0.49914
0.0087059,-0.30689,-0.91039
-0.16022,-0.020736,-0.74243
0.20155,0.0057533,-0.67451
-0.15995,-0.071466,-0.6901
-0.19105,0.006419,-0.62417
-0.12558,0.2791,0.89839
-0.063892,0.12152,-0.34635
-0.049321,-0.14915,-0.72789
-0.21749,-3.4989,0.09462
-0.17536,-0.016938,-0.62746
-0.12392,0.12461,-0.32102
-0.090141,0.23808,0.12496
-0.20516,0.24569,0.13527
-0.18182,0.065038,-0.55678
-0.083522,0.091366,-0.45845
-0.028276,0.10034,-0.50101
-0.15861,-0.26873,-0.88148
-0.099862,-1.6467,1.6429
-0.074298,0.082836,-0.2807
-0.068736,0.32005,0.41094
-0.19384,0.19121,-0.22706
-0.12687,0.13993,-0.095715
0.0020573,-0.17188,-0.77706
0.027487,0.043526,-0.27065
-0.21628,0.29846,0.05112
-0.18472,0.27018,0.12707
-0.13866,0.40642,1.2359
-0.16217,0.18691,-0.12343
-0.095912,0.24261,-0.15677
-0.10793,0.083277,-0.48129
-0.15103,0.42024,2.2822
-0.0032368,0.018971,-0.37976
-0.12378,0.06778,-0.48747
-0.11311,0.22515,-0.058631
-0.092451,0.11192,-0.51131
-0.19242,0.32653,0.56818
-0.18191,0.28812,0.36029
-0.077869,0.070203,-0.27811
-0.056293,0.18204,-0.35405
-0.12478,-0.0040476,-0.62269
-0.11287,0.14401,-0.23309
-0.23458,0.094839,-0.74755
-0.0095657,0.48194,0.30067
-0.23898,0.41823,2.2765
0.0022717,0.042519,-0.36848
-0.10993,0.14384,-0.34914
-0.24467,0.20881,-0.16318
-0.13022,0.19526,-0.099317
-0.15852,0.32919,1.8407
-0.21071,0.49325,3.3871
-0.026242,0.17498,-0.048519
-0.12244,0.13879,-0.17949
-0.15006,0.26273,0.043033
-0.14998,0.13069,-0.13012
-0.22518,0.21767,-0.10183
-0.098688,0.0018389,-0.50951
-0.031572,0.068692,-0.48476
14.262,-0.045537,-1.1736
-0.19286,0.40818,6.9073
-0.12822,0.25836,0.3057
-0.078162,0.22402,-0.18206
-0.051695,-0.15414,-0.84114
-0.12219,0.050122,-0.43223
-0.14213,0.30905,0.46521
-0.14494,0.1706,-0.21069
-0.038304,0.0084315,-0.58799
-0.14208,0.29124,0.23677
0.37717,0.083163,-0.96872
-0.15441,0.15891,-0.42177
-0.12503,0.23309,0.3301
-0.1546,0.20652,0.0083018
-0.18327,0.41524,1.3921
-0.15671,0.17434,-0.30778
-0.12795,0.2366,-0.18635
-0.13803,0.14409,-0.3804
-0.032813,0.15346,0.03248
-0.063744,0.14172,-0.09123
-0.085566,0.26861,0.069092
-0.18117,0.21954,-0.30088
-0.15695,0.28403,0.2425
-0.12389,0.38807,-0.063133
-0.23519,0.45512,1.5989
-0.13177,0.46678,1.3723
-0.077051,0.22035,0.35407
-0.053842,0.13425,-0.3252
-0.010626,0.29641,0.48517
-0.047657,0.02511,-0.63023
-0.25067,0.4082,0.77854
-0.22299,0.46933,2.1271
-0.12411,0.1075,-0.29087
2.5092,0.16425,-1.1725
-0.14385,0.27722,0.39683
-0.17575,0.20318,-0.30376
-0.28837,-0.063877,0.20957
0.19172,0.063784,-0.20453
-0.23805,0.41153,1.3731
-0.16877,0.1704,-0.11933
-0.13725,0.23912,-0.079585
-0.18604,0.13982,-0.46228
-0.1176,0.021315,-0.64983
-0.060073,0.17997,0.021748
-0.18189,0.43717,1.9079
-0.16002,0.25947,1.2451
-0.14103,0.20469,-0.19568
-0.20248,0.14253,-0.36817
-0.10004,0.21143,0.13598
-0.2304,0.29911,0.40649
-0.082847,0.11921,-0.4251
-0.21059,0.27862,0.73411
-0.15845,0.30897,0.9355
-0.13481,0.10288,0.1316
-0.19809,0.34538,0.89069
-0.18954,0.36617,1.0605
-0.14183,0.1882,-0.05287
-0.42483,0.19976,-1.0907
3.8936,-0.016422,-1.151
-0.10291,0.28424,1.8398
0.095822,-0.097343,-0.73535
-0.074502,0.12435,-0.055314
0.053016,-0.1387,-0.68407
9.02,-7.8862,-1.1336
-0.21713,0.077902,-0.56137
-0.064844,0.018087,-0.58997
0.17658,-4.9572,-0.85686
-0.11659,0.10365,0.17082
-0.15033,0.0058309,-0.69106
-0.10769,0.13698,-0.26819
-0.073978,-0.030694,-0.55027
-0.10346,0.13387,-0.36016
-0.20912,0.10274,-0.37402
0.064055,0.039037,-0.431
-0.16655,0.29515,0.10602
-0.14939,0.1996,-0.20342
-0.14337,0.25656,-0.15856
-0.20966,0.33882,0.55456
-0.095884,0.11012,-0.15118
-0.24114,-0.045511,9.7138
-0.16319,0.12123,-0.052756
0.015395,-0.15671,-0.51168
-0.03352,0.038794,-0.5098
-0.012242,-0.11132,-0.71211
-0.1845,0.21184,0.45301
-0.14763,0.4291,2.5514
-0.1297,0.13303,-0.29411
-0.21057,0.38732,0.95935
-0.10915,0.2002,-0.090303
-0.028826,-0.094662,-0.55527
-0.14442,0.020947,-0.57679
-0.02973,-0.058657,-0.4743
-0.069884,0.048565,-0.53077
-0.14316,-0.072292,-0.77145
-0.079279,0.23399,-0.22076
-0.14774,0.33037,0.8663
-0.11343,0.16132,-0.3579
-0.09279,-0.03986,-0.72114
-0.1371,-0.029825,-0.67843
-0.11731,0.13317,-0.36428
-0.12331,-0.060622,-0.78415
-0.055081,-0.057123,-0.44726
1.5163,0.00016025,-1.0698
-0.18593,0.42469,1.855
-0.19202,0.21883,0.75008
0.013104,0.04971,-0.70802
-0.083157,0.065306,-0.55794
-0.19743,0.41174,1.0691
-0.19328,0.26065,0.11433
-0.06894,0.14595,-0.52041
-0.18986,0.33332,1.8852
-0.10644,0.17676,-0.308
-0.14425,0.30859,0.29573
-0.1615,0.29279,0.73539
-0.1622,0.26122,0.33424
-0.07161,0.20158,-0.065362
-0.05121,-0.35508,-0.82941
-0.056798,0.021843,-0.63876
-0.038931,-0.13934,-0.68827
-0.14679,0.29228,0.32314
-0.20276,0.41305,0.74234
-0.10909,0.14716,-0.022819
0.040611,-0.093228,-0.70348
-0.13493,0.074159,-0.38183
-0.15024,0.18127,-0.16586
-0.070212,0.37047,-0.67941
-0.056214,-0.094537,-0.5264
-0.12845,0.23436,-0.12419
-0.088737,0.23478,0.07908
-0.076055,0.24434,-0.1005
-0.12477,0.2529,0.13545
-0.1325,0.22687,-0.060945
-0.11122,0.2366,-0.017772
-0.1477,0.34458,0.5974
-0.16542,0.23726,-0.090949
-0.19905,0.34243,-0.12976
-0.13478,0.32667,0.57073
-0.11971,0.26403,0.019219
-0.093396,-0.02457,-0.47943
-0.088191,0.10319,-0.23664
-0.12141,0.38006,1.2258
-0.055318,0.035324,-0.19361
-0.12609,0.051169,-0.44808
-0.19029,-0.12837,-0.68144
0.0014577,0.07079,-0.50948
-0.045548,0.1698,-0.3532
-0.13234,0.2902,0.37363
0.048374,0.14248,-0.091124
-0.07441,0.20961,0.1715
-0.1274,0.085137,-0.44016
-0.15098,0.23286,-0.019625
-0.032182,-5.6224,-0.51471
-0.134,-0.035951,-0.56933
-0.18111,0.31349,0.28262
-0.12777,0.33196,0.78942
0.13445,-3.1581,-0.80843
-0.017321,-0.12474,-0.60962
-0.19551,0.28027,0.43697
-0.16831,0.40508,1.1641
0.15341,0.017925,-0.54569
-0.031296,0.045855,-0.46811
-0.17255,0.044102,-0.23678
-0.019145,-0.10476,-0.75097
0.11683,-0.1887,-0.79654
-0.083917,0.37939,0.83063
-0.04891,-0.0040616,-0.55705
-0.11768,0.17535,-0.15872
-0.035252,0.21408,-0.56288
-0.1619,-0.15895,-0.93793
-0.12041,0.28057,0.15983
